reelsVideoHookPromptName,templateVideoHookPromptText,packagedTemplatePromptTextForAI
secretRevealed,Secret revealed: [topic] that you never thought about!,"##Secret revealed: [topic] that you never thought about!

"
lifeHacks,Life hacks: [topic] that makes life easier!,"##Life hacks: [topic] that makes life easier!

"
needThis,You absolutely need this [topic] in your life!,"##You absolutely need this [topic] in your life!

"
quickTips,Quick tips to enhance your [topic]!,"##Quick tips to enhance your [topic]!

"
whyItWorks,Why it works: the science behind [topic]!,"##Why it works: the science behind [topic]!

"
tryThis,Try this [topic] and see the difference!,"##Try this [topic] and see the difference!

"
mindsetShift,Mindset shift: [topic] that changes how you think!,"##Mindset shift: [topic] that changes how you think!

"
beforeAfter,Before and After: See the impact of [topic]!,"##Before and After: See the impact of [topic]!

"
trueOrFalse,True or False: [topic] that will surprise you!,"##True or False: [topic] that will surprise you!

"
canDoThis,You can do this [topic] right now!,"##You can do this [topic] right now!

"
timeSaver,Big time saver: [topic] that cuts down on [issue]!,"##Big time saver: [topic] that cuts down on [issue]!

"
easyPeasy,Easy peasy [topic] that anyone can do!,"##Easy peasy [topic] that anyone can do!

"
shockingResults,Shocking results from trying [topic]!,"##Shocking results from trying [topic]!

"
proTips,Pro tips for mastering [topic]!,"##Pro tips for mastering [topic]!

"
littleKnown,Little known ways to improve [topic].,"##Little known ways to improve [topic].

"
bestKeptSecret,Best kept secret in [topic]!,"##Best kept secret in [topic]!

"
lifeChanging,Life-changing benefits of [topic].,"##Life-changing benefits of [topic].

"
whatYouMissed,What you missed about [topic].,"##What you missed about [topic].

"
transformYourTopic,Transform your [topic] with these simple steps!,"##Transform your [topic] with these simple steps!

"
myFavThing,My favorite thing about [topic] is [thing].,"##My favorite thing about [topic] is [thing].

"
noRegrets,No regrets after trying [topic]!,"##No regrets after trying [topic]!

"
didYouKnow,Did you know this about [topic]?,"##Did you know this about [topic]?

"
underTheRadar,Under the radar: [topic] that you haven't heard of!,"##Under the radar: [topic] that you haven't heard of!

"
quickFix,Quick fix for your [topic] problem!,"##Quick fix for your [topic] problem!

"
overlookedTopic,Overlooked aspects of [topic] you should consider.,"##Overlooked aspects of [topic] you should consider.

"
sneakPeek,Sneak peek at the amazing [topic]!,"##Sneak peek at the amazing [topic]!

"
mustTry,Must try: [topic] that will change your life!,"##Must try: [topic] that will change your life!

"
howToStart,How to start with [topic].,"##How to start with [topic].

"
simpleYetEffective,Simple yet effective: [topic].,"##Simple yet effective: [topic].

"
fromZeroToHero,From zero to hero with [topic]!,"##From zero to hero with [topic]!

"
uncoverTheTruth,Uncover the truth about [topic].,"##Uncover the truth about [topic].

"
revolutionizeTopic,Revolutionize your approach to [topic].,"##Revolutionize your approach to [topic].

"
eyeOpening,Eye-opening facts about [topic].,"##Eye-opening facts about [topic].

"
surprisingFacts,Surprising facts about [topic].,"##Surprising facts about [topic].

"
unlockPotential,Unlock the potential of [topic].,"##Unlock the potential of [topic].

"
behindTheScenes,Behind the scenes: How [topic] is made.,"##Behind the scenes: How [topic] is made.

"
stepByStep,Step by step guide to [topic].,"##Step by step guide to [topic].

"
allYouNeed,All you need to know about [topic].,"##All you need to know about [topic].

"
whatsTheHype,What's the hype about [topic]?,"##What's the hype about [topic]?

"
essentialTips,Essential tips for using [topic].,"##Essential tips for using [topic].

"
fullReview,Full review: Does [topic] live up to the hype?,"##Full review: Does [topic] live up to the hype?

"
ultimateGuide,Ultimate guide to mastering [topic].,"##Ultimate guide to mastering [topic].

"
secretsUnveiled,Secrets unveiled: What you didn't know about [topic].,"##Secrets unveiled: What you didn't know about [topic].

"
worthIt,Is [topic] really worth it?,"##Is [topic] really worth it?

"
breakingDown,Breaking down the myths about [topic].,"##Breaking down the myths about [topic].

"
howItWorks,How it works: The mechanics of [topic].,"##How it works: The mechanics of [topic].

"
mythsBusted,Myths busted: The truth about [topic].,"##Myths busted: The truth about [topic].

"
dontMissOut,Don't miss out on [topic]!,"##Don't miss out on [topic]!

"
insiderInfo,Insider info: Tips on [topic].,"##Insider info: Tips on [topic].

"
lifeBeforeAfter,Life before and after [topic].,"##Life before and after [topic].

"
topReasons,Top reasons to love [topic].,"##Top reasons to love [topic].

"
howToChoose,How to choose the right [topic].,"##How to choose the right [topic].

"
expertsSay,Experts say this about [topic].,"##Experts say this about [topic].

"
whyChooseThis,Why choose this [topic] over others?,"##Why choose this [topic] over others?

"
nextBigThing,The next big thing in [topic]!,"##The next big thing in [topic]!

"
avoidMistakes,Avoid these common mistakes in [topic].,"##Avoid these common mistakes in [topic].

"
mustKnow,Must-know facts about [topic].,"##Must-know facts about [topic].

"
deepDive,Deep dive into [topic] and its benefits.,"##Deep dive into [topic] and its benefits.

"
firstImpressions,First impressions of [topic].,"##First impressions of [topic].

"
howToMaximize,How to maximize your results with [topic].,"##How to maximize your results with [topic].

"
betterThanEver,[Topic] is better than ever before!,"##[Topic] is better than ever before!

"
freshLook,A fresh look at [topic].,"##A fresh look at [topic].

"
whatChanged,What's changed in [topic] lately?,"##What's changed in [topic] lately?

"
comparison,Comparison: [topic1] vs. [topic2].,"##Comparison: [topic1] vs. [topic2].

"
canYouBelieve,Can you believe this about [topic]?,"##Can you believe this about [topic]?

"
hiddenFeatures,Hidden features of [topic] you should use.,"##Hidden features of [topic] you should use.

"
whatToExpect,What to expect when engaging with [topic].,"##What to expect when engaging with [topic].

"
newInTech,New in [topic] technology.,"##New in [topic] technology.

"
trendAlert,Trend alert: [topic] is gaining popularity!,"##Trend alert: [topic] is gaining popularity!

"
bestPractices,Best practices for using [topic].,"##Best practices for using [topic].

"
whyEveryoneLoves,Why everyone loves [topic].,"##Why everyone loves [topic].

"
howItHelps,How [topic] helps you achieve [result].,"##How [topic] helps you achieve [result].

"
beforeYouBuy,"Before you buy [topic], read this!","##Before you buy [topic], read this!

"
topPicks,Top picks for the best [topic].,"##Top picks for the best [topic].

"
howItStarted,How it started: the origin of [topic].,"##How it started: the origin of [topic].

"
futureOfTopic,The future of [topic]: what's next?,"##The future of [topic]: what's next?

"
yourGuideTo,Your guide to getting the most out of [topic].,"##Your guide to getting the most out of [topic].

"
overcomeChallenges,Overcome challenges in [topic].,"##Overcome challenges in [topic].

"
fromGoodToGreat,From good to great with [topic].,"##From good to great with [topic].

"
masteringBasics,Mastering the basics of [topic].,"##Mastering the basics of [topic].

"
beyondTheBasics,Beyond the basics: Advanced techniques in [topic].,"##Beyond the basics: Advanced techniques in [topic].

"
dailyRoutine,Daily routine with [topic].,"##Daily routine with [topic].

"
lifeEnhancer,[Topic] as a life enhancer.,"##[Topic] as a life enhancer.

"
personalExperience,Personal experience with [topic].,"##Personal experience with [topic].

"
unlockYourPotential,Unlock your potential with [topic].,"##Unlock your potential with [topic].

"
secretsToSuccess,Secrets to success with [topic].,"##Secrets to success with [topic].

"
innovationSpotlight,Innovation spotlight on [topic].,"##Innovation spotlight on [topic].

"
achievingGoals,Achieving goals with [topic].,"##Achieving goals with [topic].

"
streamlineProcesses,Streamline processes with [topic].,"##Streamline processes with [topic].

"
explorePossibilities,Explore possibilities with [topic].,"##Explore possibilities with [topic].

"
creativeApproaches,Creative approaches to [topic].,"##Creative approaches to [topic].

"
maximizeEfficiency,Maximize efficiency in [activity].,"##Maximize efficiency in [activity].

"
discoverBenefits,Discover the benefits of [topic].,"##Discover the benefits of [topic].

"
guideToSuccess,A guide to success with [topic].,"##A guide to success with [topic].

"
challengesAndSolutions,Challenges and solutions in [topic].,"##Challenges and solutions in [topic].

"
expandingHorizons,Expanding horizons with [topic].,"##Expanding horizons with [topic].

"
transformingIndustries,Transforming industries with [topic].,"##Transforming industries with [topic].

"
benchmarkingSuccess,Benchmarking success in [topic].,"##Benchmarking success in [topic].

"
navigatingComplexity,Navigating complexity in [topic].,"##Navigating complexity in [topic].

"
pioneeringInnovations,Pioneering innovations in [topic].,"##Pioneering innovations in [topic].

"
settingTrends,Setting trends with [topic].,"##Setting trends with [topic].

"
breakingBarriers,Breaking barriers in [topic].,"##Breaking barriers in [topic].

"
leadingTheWay,Leading the way in [topic].,"##Leading the way in [topic].

"
strategicInsights,Strategic insights into [topic].,"##Strategic insights into [topic].

"
unleashingPotential,Unleashing potential with [topic].,"##Unleashing potential with [topic].

"
revolutionizingTechniques,Revolutionizing techniques in [topic].,"##Revolutionizing techniques in [topic].

"
shapingFutures,Shaping futures with [topic].,"##Shaping futures with [topic].

"
cultivatingExcellence,Cultivating excellence in [topic].,"##Cultivating excellence in [topic].

"
empoweringChange,Empowering change through [topic].,"##Empowering change through [topic].

"
harnessingTechnology,Harnessing technology for [topic].,"##Harnessing technology for [topic].

"
inspiringStories,Inspiring stories about [topic].,"##Inspiring stories about [topic].

"
overcomingObstacles,Overcoming obstacles with [topic].,"##Overcoming obstacles with [topic].

"
pushingBoundaries,Pushing boundaries in [topic].,"##Pushing boundaries in [topic].

"
acceleratingInnovation,Accelerating innovation in [topic].,"##Accelerating innovation in [topic].

"
enhancingPerformance,Enhancing performance with [topic].,"##Enhancing performance with [topic].

"
trailblazingTrends,Trailblazing trends in [topic].,"##Trailblazing trends in [topic].

"
definingStandards,Defining standards for [topic].,"##Defining standards for [topic].

"
advancingKnowledge,Advancing knowledge on [topic].,"##Advancing knowledge on [topic].

"
redefiningProcesses,Redefining processes through [topic].,"##Redefining processes through [topic].

"
emergingTrends,Emerging trends in [topic].,"##Emerging trends in [topic].

"
insightsIntoGrowth,Insights into growth with [topic].,"##Insights into growth with [topic].

"
leadingEdgeTechniques,Leading-edge techniques in [topic].,"##Leading-edge techniques in [topic].

"
pushingInnovation,Pushing innovation with [topic].,"##Pushing innovation with [topic].

"
secretsOfEfficiency,Secrets of efficiency in [topic].,"##Secrets of efficiency in [topic].

"
revolutionizingApproaches,Revolutionizing approaches to [topic].,"##Revolutionizing approaches to [topic].

"
beyondExpectations,Going beyond expectations with [topic].,"##Going beyond expectations with [topic].

"
topStrategies,Top strategies for mastering [topic].,"##Top strategies for mastering [topic].

"
makingADifference,Making a difference with [topic].,"##Making a difference with [topic].

"
innovativeSolutions,Innovative solutions in [topic].,"##Innovative solutions in [topic].

"
breakingNewGround,Breaking new ground with [topic].,"##Breaking new ground with [topic].

"
exploringNewDimensions,Exploring new dimensions in [topic].,"##Exploring new dimensions in [topic].

"
pioneeringStrategies,Pioneering strategies for [topic].,"##Pioneering strategies for [topic].

"
shapingInnovativePaths,Shaping innovative paths in [topic].,"##Shaping innovative paths in [topic].

"
unveilingNewTechniques,Unveiling new techniques for [topic].,"##Unveiling new techniques for [topic].

"
transformativeMethods,Transformative methods in [topic].,"##Transformative methods in [topic].

"
advancingIndustryStandards,Advancing industry standards with [topic].,"##Advancing industry standards with [topic].

"
cuttingEdgeDevelopments,Cutting-edge developments in [topic].,"##Cutting-edge developments in [topic].

"
leadingInnovations,Leading innovations in [topic].,"##Leading innovations in [topic].

"
trailblazingSolutions,Trailblazing solutions for [topic].,"##Trailblazing solutions for [topic].

"
exploringPotentials,Exploring potentials with [topic].,"##Exploring potentials with [topic].

"
settingBenchmarks,Setting benchmarks in [topic].,"##Setting benchmarks in [topic].

"
definingFutureTrends,Defining future trends for [topic].,"##Defining future trends for [topic].

"
leadingTransformations,Leading transformations in [topic].,"##Leading transformations in [topic].

"
